sp.ID time endTime t.ID station_european_code PM10 x y 
CZ0UVAL 2005-06-02 2005-06-03 5267 CZ0UVAL 11.5 14.5161250000000020 50.9730570022282730
CZ0TVER 2005-06-02 2005-06-03 5267 CZ0TVER 22.333 18.4244500000000000 49.9250030023320550
DESH001 2005-06-02 2005-06-03 5267 DESH001 22.5 9.5859110000000065 53.6705710015810030
DENI063 2005-06-02 2005-06-03 5267 DENI063 19.333 9.6850299999999958 53.5241800016289060
DEBY109 2005-06-02 2005-06-03 5267 DEBY109 17.833 11.2201720000000050 47.9687540022780250
DEBE056 2005-06-02 2005-06-03 5267 DEBE056 18.95 13.6470129999999920 52.4477500019380050
DEBE032 2005-06-02 2005-06-03 5267 DEBE032 14.417 13.2258560000000060 52.4730910019316070
DEHE046 2005-06-02 2005-06-03 5267 DEHE046 11.208 8.9281710000000061 51.4308970021556180
DESL019 2005-06-02 2005-06-03 5267 DESL019 20.783 6.5520359999999984 49.4168850023497800
DENW081 2005-06-02 2005-06-03 5267 DENW081 21.792 6.8745529999999997 51.8620000020726050
DESH008.1 2005-06-02 2005-06-03 5267 DESH008 19 10.2406229999999920 54.0932330014354080
DESN049 2005-06-02 2005-06-03 5267 DESN049 15 12.6111249999999940 50.4313220022930370
DESN076.1 2005-06-02 2005-06-03 5267 DESN076 15 13.0094049999999990 51.3037720021774110
DETH026 2005-06-02 2005-06-03 5267 DETH026 16.917 10.3752989999999980 50.5617520022795620
DEBW004 2005-06-02 2005-06-03 5267 DEBW004 26.818 8.4038380000000021 49.0824280023494590
DEBW004.1 2005-06-02 2005-06-03 5267 DEBW004 24 8.4039164428761612 49.0824985196908370
DENI059 2005-06-02 2005-06-03 5267 DENI059 18.25 8.8012200000000060 53.8301700015273430
DEHE028 2005-06-02 2005-06-03 5267 DEHE028 19.083 8.8172500000000031 49.6534650023442200
DEMV017 2005-06-02 2005-06-03 5267 DEMV017 15.083 11.3629649999999960 53.3023520016988430
DEMV004 2005-06-02 2005-06-03 5267 DEMV004 16.125 12.0647079999999980 53.8177750015315510
DEBB053 2005-06-02 2005-06-03 5267 DEBB053 16.167 14.0152530000000010 52.5638350019084300
DENW063 2005-06-02 2005-06-03 5267 DENW063 12.792 8.9505970000000072 51.8309520020790590
DETH061 2005-06-02 2005-06-03 5267 DETH061 14.625 11.6612329999999980 50.7916160022525670
DERP014 2005-06-02 2005-06-03 5267 DERP014 14.333 7.1934860000000000 49.7410350023409930
DENI031 2005-06-02 2005-06-03 5267 DENI031 21.667 8.0905900000000042 53.5961700016055150
DEMV012 2005-06-02 2005-06-03 5267 DEMV012 NA 14.2574069999999970 53.5204560016301020
DEBB065 2005-06-02 2005-06-03 5267 DEBB065 NA 12.5613889999999970 52.1942250019993000
DEBY013 2005-06-02 2005-06-03 5267 DEBY013 17.5 12.7813850000000040 48.1828350023002730
DEBY047 2005-06-02 2005-06-03 5267 DEBY047 16.875 11.7216049999999970 50.3232420023031180
